['diagnoses', 'stimulates', 'associated_with', 'part_of']
['stimulates', 'compared_with', 'stimulates', 'inhibits']
['stimulates', 'causes', 'prevents', 'occurs_in']
['stimulates', 'same_as', 'causes', 'prevents']
['stimulates', 'disrupts', 'complicates', 'inhibits']
['stimulates', 'diagnoses', 'location_of', 'causes']
['stimulates', 'occurs_in', 'occurs_in', 'part_of']
['stimulates', 'isa', 'affects', 'compared_with']
['stimulates', 'prevents', 'interacts_with', 'diagnoses']
['stimulates', 'affects', 'produces', 'same_as']
['stimulates', 'prevents', 'isa', 'diagnoses']
['stimulates', 'occurs_in', 'produces', 'augments']
['stimulates', 'occurs_in', 'causes', 'inhibits']
['stimulates', 'location_of', 'causes', 'augments']
['stimulates', 'complicates', 'disrupts', 'stimulates']
['stimulates', 'diagnoses', 'treats', 'produces']
['stimulates', 'same_as', 'location_of', 'affects']
['stimulates', 'location_of', 'prevents', 'causes']
['stimulates', 'interacts_with', 'isa', 'prevents']
['stimulates', 'inhibits', 'augments', 'compared_with']
['stimulates']
['stimulates', 'location_of', 'augments', 'location_of']
['stimulates', 'diagnoses', 'coexists_with', 'compared_with']
['stimulates', 'occurs_in', 'stimulates', 'associated_with']
['stimulates', 'complicates', 'interacts_with', 'affects']
['stimulates', 'treats', 'associated_with', 'location_of']
['stimulates', 'disrupts', 'produces']
['associated_with', 'inhibits', 'compared_with', 'augments']
['associated_with', 'inhibits', 'occurs_in', 'location_of']
['associated_with', 'associated_with', 'compared_with', 'occurs_in']
['associated_with', 'occurs_in', 'interacts_with', 'affects']
['associated_with', 'augments', 'diagnoses']
['associated_with', 'augments', 'interacts_with']
['associated_with', 'complicates', 'associated_with', 'inhibits']
['associated_with', 'interacts_with', 'prevents', 'inhibits']
['associated_with', 'inhibits', 'interacts_with', 'coexists_with']
['associated_with', 'interacts_with', 'treats', 'location_of']
['associated_with', 'augments', 'disrupts', 'affects']
['associated_with', 'occurs_in', 'coexists_with', 'coexists_with']
['associated_with', 'coexists_with', 'produces', 'affects']
['associated_with', 'occurs_in', 'associated_with', 'prevents']
['associated_with', 'complicates', 'prevents', 'same_as']
['associated_with', 'associated_with', 'interacts_with', 'produces']
['associated_with', 'isa', 'disrupts', 'inhibits']
['associated_with', 'stimulates', 'causes', 'location_of']
['associated_with', 'compared_with', 'occurs_in', 'produces']
['associated_with', 'stimulates', 'treats', 'complicates']
['associated_with', 'treats', 'interacts_with', 'diagnoses']
['associated_with', 'isa', 'interacts_with', 'location_of']
['associated_with', 'isa', 'part_of', 'complicates']
['associated_with', 'affects', 'part_of', 'associated_with']
['associated_with', 'causes', 'occurs_in', 'stimulates']
['associated_with', 'interacts_with', 'disrupts', 'location_of']
['associated_with', 'stimulates', 'complicates', 'interacts_with']
['associated_with', 'occurs_in', 'causes', 'disrupts']
['associated_with', 'inhibits', 'affects', 'treats']
['associated_with', 'isa', 'disrupts', 'causes']
['associated_with', 'location_of', 'produces']
['associated_with', 'inhibits', 'produces']
['associated_with', 'affects', 'stimulates', 'part_of']
['associated_with', 'isa', 'compared_with', 'compared_with']
['associated_with', 'interacts_with', 'interacts_with', 'interacts_with']
['associated_with', 'stimulates', 'occurs_in', 'disrupts']
['associated_with', 'complicates', 'same_as', 'same_as']
['associated_with', 'associated_with', 'diagnoses', 'disrupts']
['associated_with', 'coexists_with', 'diagnoses', 'treats']
['associated_with', 'causes', 'disrupts', 'inhibits']
['associated_with', 'complicates', 'associated_with', 'associated_with']
['associated_with', 'augments', 'stimulates', 'treats']
['associated_with', 'causes', 'location_of', 'prevents']
['associated_with', 'stimulates', 'diagnoses', 'isa']
['associated_with', 'causes', 'disrupts', 'affects']
['associated_with', 'stimulates', 'augments', 'augments']
['associated_with', 'stimulates', 'stimulates', 'occurs_in']
['associated_with', 'interacts_with', 'diagnoses', 'coexists_with']
['associated_with', 'coexists_with', 'prevents', 'same_as']
['associated_with', 'isa', 'interacts_with', 'isa']
['associated_with', 'inhibits', 'interacts_with', 'complicates']
['associated_with', 'inhibits', 'associated_with', 'diagnoses']
['associated_with', 'augments', 'stimulates', 'associated_with']
['associated_with', 'associated_with', 'disrupts', 'compared_with']
['associated_with', 'compared_with', 'inhibits', 'augments']
['associated_with', 'coexists_with', 'prevents', 'affects']
['associated_with', 'interacts_with', 'location_of', 'prevents']
['associated_with', 'affects', 'diagnoses', 'part_of']
['associated_with', 'stimulates', 'diagnoses', 'compared_with']
['associated_with', 'disrupts', 'diagnoses']
['associated_with', 'isa', 'affects', 'augments']
['associated_with', 'stimulates', 'location_of', 'isa']
['associated_with', 'affects', 'produces', 'prevents']
['associated_with', 'diagnoses', 'diagnoses', 'affects']
['associated_with', 'coexists_with', 'diagnoses', 'inhibits']
['associated_with', 'inhibits', 'disrupts', 'stimulates']
['associated_with', 'compared_with', 'treats', 'stimulates']
['associated_with', 'location_of', 'occurs_in', 'causes']
['associated_with', 'associated_with', 'isa', 'produces']
['associated_with']
['associated_with', 'treats', 'causes', 'isa']
['associated_with', 'diagnoses', 'causes', 'complicates']
['associated_with', 'location_of', 'part_of', 'part_of']
['associated_with', 'part_of', 'compared_with', 'coexists_with']
['associated_with', 'isa', 'stimulates', 'causes']
['associated_with', 'coexists_with', 'occurs_in', 'coexists_with']
['associated_with', 'produces', 'part_of', 'location_of']
['associated_with', 'complicates', 'compared_with', 'affects']
['associated_with', 'augments', 'associated_with', 'same_as']
['associated_with', 'location_of', 'diagnoses', 'occurs_in']
['associated_with', 'produces', 'complicates', 'part_of']
['associated_with', 'stimulates', 'inhibits', 'produces']
['associated_with', 'diagnoses', 'prevents', 'treats']
['associated_with', 'treats', 'coexists_with']
['associated_with', 'produces', 'associated_with', 'complicates']
['associated_with', 'produces', 'inhibits', 'location_of']
['associated_with', 'diagnoses']
['associated_with', 'causes', 'occurs_in', 'location_of']
['associated_with', 'prevents', 'interacts_with', 'associated_with']
['associated_with', 'stimulates', 'coexists_with', 'affects']
['associated_with', 'stimulates', 'isa', 'associated_with']
['associated_with', 'isa', 'location_of', 'diagnoses']
['associated_with', 'same_as', 'prevents', 'disrupts']
['associated_with', 'occurs_in', 'produces', 'coexists_with']
['associated_with', 'affects', 'diagnoses', 'augments']
['associated_with', 'coexists_with', 'affects', 'augments']
['associated_with', 'inhibits', 'complicates', 'causes']
['treats', 'treats', 'same_as', 'compared_with']
['treats', 'coexists_with', 'disrupts', 'treats']
['treats', 'produces', 'diagnoses', 'inhibits']
['treats', 'occurs_in', 'coexists_with', 'coexists_with']
['treats', 'associated_with', 'produces', 'same_as']
['treats', 'isa', 'compared_with', 'diagnoses']
['treats', 'stimulates', 'causes', 'location_of']
['treats', 'affects', 'associated_with', 'causes']
['treats', 'augments', 'compared_with', 'inhibits']
['treats', 'compared_with', 'treats', 'produces']
['treats', 'coexists_with', 'coexists_with', 'occurs_in']
['treats', 'diagnoses', 'produces', 'compared_with']
['treats', 'compared_with', 'stimulates', 'produces']
['treats', 'associated_with', 'compared_with', 'produces']
['treats', 'disrupts', 'same_as', 'part_of']
['treats', 'inhibits', 'produces', 'disrupts']
['treats', 'complicates', 'isa', 'occurs_in']
['treats', 'part_of', 'produces', 'complicates']
['treats', 'same_as', 'causes', 'associated_with']
['treats', 'part_of', 'causes', 'compared_with']
['treats', 'diagnoses', 'associated_with', 'diagnoses']
['treats']
['treats', 'disrupts', 'prevents', 'complicates']
['treats', 'coexists_with', 'affects', 'coexists_with']
['treats', 'treats', 'location_of', 'prevents']
['treats', 'compared_with', 'location_of', 'inhibits']
['treats', 'produces', 'location_of', 'disrupts']
['treats', 'same_as', 'coexists_with', 'location_of']
['treats', 'location_of', 'coexists_with', 'diagnoses']
['treats', 'compared_with', 'part_of', 'part_of']
['treats', 'disrupts', 'produces', 'associated_with']
['treats', 'same_as']
['treats', 'affects', 'part_of', 'inhibits']
['treats', 'stimulates', 'prevents', 'inhibits']
['treats', 'stimulates', 'disrupts', 'produces']
['treats', 'treats', 'compared_with', 'complicates']
['treats', 'stimulates', 'produces', 'disrupts']
['treats', 'interacts_with', 'produces', 'complicates']
['treats', 'occurs_in', 'inhibits', 'treats']
['treats', 'affects', 'interacts_with', 'augments']
['treats', 'disrupts', 'location_of', 'interacts_with']
['treats', 'coexists_with', 'disrupts', 'coexists_with']
['treats', 'complicates', 'affects', 'produces']
['treats', 'produces', 'causes', 'isa']
['treats', 'augments', 'part_of', 'treats']
['treats', 'augments', 'augments']
['treats', 'disrupts', 'complicates', 'stimulates']
['treats', 'compared_with', 'occurs_in', 'complicates']
['treats', 'interacts_with', 'produces', 'interacts_with']
['treats', 'coexists_with']
['treats', 'prevents', 'treats', 'inhibits']
['treats', 'disrupts', 'inhibits', 'treats']
['treats', 'affects', 'disrupts', 'complicates']
['treats', 'compared_with', 'disrupts', 'produces']
['treats', 'inhibits', 'compared_with', 'prevents']
['treats', 'location_of', 'complicates', 'occurs_in']
['treats', 'same_as', 'complicates', 'occurs_in']
['treats', 'coexists_with', 'associated_with', 'disrupts']
['treats', 'same_as', 'prevents', 'affects']
['treats', 'compared_with', 'prevents', 'isa']
['treats', 'causes', 'augments', 'stimulates']
['treats', 'part_of', 'disrupts', 'causes']
['treats', 'inhibits', 'produces', 'affects']
['treats', 'causes', 'stimulates', 'location_of']
['treats', 'stimulates', 'affects', 'occurs_in']
['treats', 'disrupts', 'associated_with']
['treats', 'interacts_with', 'stimulates', 'same_as']
['treats', 'inhibits', 'compared_with', 'coexists_with']
['treats', 'same_as', 'prevents', 'stimulates']
['treats', 'compared_with', 'occurs_in', 'affects']
['treats', 'complicates', 'complicates', 'affects']
['treats', 'complicates', 'diagnoses', 'location_of']
['treats', 'causes', 'part_of', 'complicates']
['treats', 'complicates', 'augments', 'inhibits']
['treats', 'augments', 'stimulates', 'causes']
['treats', 'compared_with', 'diagnoses', 'inhibits']
['treats', 'inhibits', 'part_of', 'disrupts']
['treats', 'occurs_in', 'augments', 'affects']
['treats', 'prevents', 'produces', 'produces']
['treats', 'treats', 'associated_with', 'prevents']
['treats', 'prevents', 'compared_with', 'occurs_in']
['treats', 'isa', 'part_of', 'occurs_in']
['treats', 'same_as', 'occurs_in', 'stimulates']
['treats', 'inhibits', 'interacts_with', 'interacts_with']
['treats', 'augments', 'occurs_in', 'isa']
['treats', 'diagnoses', 'location_of', 'prevents']
['treats', 'produces', 'location_of', 'prevents']
['treats', 'produces', 'inhibits', 'interacts_with']
['treats', 'prevents', 'part_of', 'causes']
['treats', 'diagnoses', 'coexists_with', 'treats']
['treats', 'part_of', 'part_of', 'stimulates']
['treats', 'disrupts', 'diagnoses', 'diagnoses']
['treats', 'compared_with', 'occurs_in', 'causes']
['treats', 'produces', 'location_of', 'affects']
['affects', 'interacts_with', 'disrupts', 'part_of']
['affects', 'prevents', 'associated_with', 'complicates']
['affects', 'augments', 'treats', 'isa']
['affects', 'associated_with', 'compared_with', 'prevents']
['affects', 'complicates', 'disrupts', 'stimulates']
['affects', 'complicates', 'same_as', 'inhibits']
['affects', 'isa', 'part_of']
['affects', 'complicates', 'compared_with', 'complicates']
['affects', 'same_as', 'same_as', 'causes']
['affects', 'inhibits', 'stimulates', 'affects']
['affects', 'complicates', 'treats', 'inhibits']
['affects', 'location_of', 'produces', 'occurs_in']
['affects', 'stimulates', 'occurs_in', 'part_of']
['affects', 'occurs_in', 'complicates', 'compared_with']
['affects', 'produces', 'compared_with', 'complicates']
['affects', 'part_of', 'prevents', 'disrupts']
['affects', 'diagnoses', 'location_of', 'part_of']
['affects', 'disrupts', 'treats', 'coexists_with']
['affects', 'isa']
['affects', 'coexists_with', 'isa', 'location_of']
['affects', 'same_as', 'part_of', 'location_of']
['affects', 'causes', 'isa', 'occurs_in']
['affects', 'disrupts', 'treats', 'treats']
['affects', 'isa', 'prevents', 'coexists_with']
['affects', 'isa', 'compared_with', 'occurs_in']
['affects', 'stimulates', 'treats', 'interacts_with']
['affects', 'occurs_in', 'part_of', 'diagnoses']
['affects', 'occurs_in']
['affects', 'produces', 'affects', 'part_of']
['affects', 'complicates', 'part_of', 'same_as']
['affects', 'produces', 'complicates', 'interacts_with']
['affects']
['affects', 'affects', 'part_of', 'produces']
['affects', 'causes', 'compared_with', 'occurs_in']
['affects', 'compared_with', 'complicates', 'disrupts']
['affects', 'part_of', 'affects', 'coexists_with']
['affects', 'interacts_with', 'associated_with', 'compared_with']
['affects', 'occurs_in', 'part_of', 'associated_with']
['affects', 'augments', 'associated_with']
['affects', 'diagnoses', 'associated_with', 'inhibits']
['affects', 'coexists_with', 'coexists_with', 'inhibits']
['affects', 'disrupts', 'occurs_in', 'inhibits']
['affects', 'prevents', 'isa', 'prevents']
['affects', 'augments', 'diagnoses', 'produces']
['affects', 'treats', 'isa', 'isa']
['affects', 'associated_with', 'interacts_with', 'produces']
['affects', 'inhibits', 'prevents', 'produces']
['affects', 'causes', 'stimulates', 'inhibits']
['affects', 'compared_with', 'causes', 'inhibits']
['affects', 'coexists_with', 'compared_with', 'occurs_in']
['affects', 'associated_with', 'coexists_with', 'interacts_with']
['affects', 'coexists_with', 'augments', 'produces']
['affects', 'stimulates', 'complicates', 'affects']
['affects', 'part_of', 'stimulates', 'associated_with']
['affects', 'isa', 'associated_with', 'associated_with']
['affects', 'diagnoses', 'associated_with', 'complicates']
['affects', 'produces', 'associated_with', 'isa']
['affects', 'complicates', 'same_as', 'prevents']
['affects', 'causes', 'coexists_with', 'complicates']
['affects', 'affects', 'part_of', 'complicates']
['affects', 'occurs_in', 'associated_with', 'associated_with']
['affects', 'occurs_in', 'occurs_in', 'augments']
['affects', 'stimulates', 'augments', 'coexists_with']
['affects', 'inhibits', 'prevents', 'part_of']
['affects', 'coexists_with', 'produces', 'isa']
['affects', 'produces', 'coexists_with', 'produces']
['affects', 'stimulates', 'prevents', 'coexists_with']
['affects', 'diagnoses', 'coexists_with', 'same_as']
['affects', 'compared_with', 'stimulates', 'associated_with']
['affects', 'part_of', 'stimulates', 'location_of']
['affects', 'causes', 'prevents', 'isa']
['affects', 'compared_with', 'disrupts', 'prevents']
['affects', 'affects', 'interacts_with', 'location_of']
['affects', 'augments', 'stimulates', 'same_as']
['affects', 'inhibits', 'complicates', 'part_of']
['affects', 'stimulates', 'inhibits', 'part_of']
['affects', 'disrupts', 'inhibits']
['affects', 'associated_with', 'produces']
['affects', 'same_as', 'stimulates', 'prevents']
['affects', 'associated_with', 'part_of', 'inhibits']
['affects', 'location_of', 'location_of', 'prevents']
['affects', 'affects', 'inhibits', 'interacts_with']
['affects', 'part_of', 'prevents', 'location_of']
['affects', 'produces', 'inhibits', 'causes']
['affects', 'location_of', 'isa', 'complicates']
['affects', 'treats', 'treats', 'location_of']
['affects', 'inhibits', 'coexists_with', 'isa']
['affects', 'same_as', 'inhibits', 'diagnoses']
['affects', 'prevents', 'location_of', 'produces']
['affects', 'disrupts', 'coexists_with', 'produces']
['affects', 'produces', 'prevents', 'prevents']
['affects', 'causes', 'prevents', 'stimulates']
['affects', 'interacts_with', 'augments', 'disrupts']
['affects', 'prevents', 'same_as', 'stimulates']
['affects', 'interacts_with', 'produces', 'diagnoses']
['affects', 'part_of', 'inhibits', 'produces']
['affects', 'complicates', 'stimulates', 'treats']
['affects', 'produces', 'augments', 'disrupts']
['affects', 'compared_with', 'disrupts', 'diagnoses']
['affects', 'treats', 'complicates', 'diagnoses']
['interacts_with', 'produces', 'prevents', 'diagnoses']
['interacts_with', 'isa', 'isa', 'inhibits']
['interacts_with', 'treats', 'causes', 'part_of']
['interacts_with', 'coexists_with']
['interacts_with', 'diagnoses', 'stimulates', 'prevents']
['interacts_with', 'diagnoses', 'occurs_in', 'compared_with']
['interacts_with', 'complicates', 'part_of', 'treats']
['interacts_with', 'disrupts', 'produces', 'causes']
['interacts_with', 'isa']
['interacts_with', 'treats', 'part_of', 'inhibits']
['interacts_with', 'associated_with', 'inhibits', 'stimulates']
['interacts_with', 'isa', 'associated_with', 'treats']
['interacts_with', 'prevents', 'treats', 'occurs_in']
['interacts_with', 'associated_with', 'inhibits', 'isa']
['interacts_with', 'part_of', 'produces', 'treats']
['interacts_with', 'stimulates', 'isa', 'produces']
['interacts_with', 'diagnoses', 'same_as', 'compared_with']
['interacts_with', 'stimulates', 'complicates', 'isa']
['interacts_with', 'disrupts', 'associated_with', 'interacts_with']
['interacts_with', 'inhibits', 'coexists_with', 'causes']
['interacts_with', 'stimulates', 'interacts_with', 'causes']
['interacts_with', 'location_of', 'augments', 'occurs_in']
['interacts_with', 'disrupts', 'causes', 'treats']
['interacts_with', 'produces', 'causes', 'causes']
['interacts_with', 'inhibits', 'interacts_with', 'produces']
['interacts_with', 'causes', 'location_of']
['interacts_with', 'part_of', 'location_of', 'augments']
['interacts_with', 'interacts_with', 'affects', 'produces']
['interacts_with', 'associated_with', 'prevents', 'causes']
['interacts_with', 'same_as', 'complicates', 'compared_with']
['interacts_with', 'interacts_with', 'isa']
['interacts_with', 'associated_with', 'location_of', 'affects']
['interacts_with', 'causes', 'prevents', 'isa']
['interacts_with', 'causes', 'location_of', 'compared_with']
['interacts_with', 'stimulates', 'part_of', 'augments']
['interacts_with', 'part_of', 'part_of', 'occurs_in']
['interacts_with', 'inhibits', 'occurs_in', 'occurs_in']
['interacts_with', 'location_of']
['interacts_with', 'associated_with', 'inhibits', 'augments']
['interacts_with', 'complicates', 'causes', 'produces']
['interacts_with', 'produces', 'treats', 'occurs_in']
['interacts_with', 'causes', 'stimulates', 'prevents']
['interacts_with', 'inhibits', 'stimulates', 'part_of']
['interacts_with', 'stimulates', 'augments', 'interacts_with']
['interacts_with', 'compared_with', 'same_as', 'same_as']
['interacts_with', 'same_as', 'interacts_with', 'causes']
['interacts_with', 'treats', 'same_as', 'isa']
['interacts_with', 'compared_with', 'complicates', 'same_as']
['interacts_with', 'affects', 'augments', 'interacts_with']
['interacts_with', 'treats', 'diagnoses', 'diagnoses']
['interacts_with', 'disrupts', 'complicates', 'disrupts']
['interacts_with', 'location_of', 'location_of', 'location_of']
['interacts_with', 'interacts_with', 'stimulates', 'affects']
['interacts_with', 'occurs_in', 'same_as', 'augments']
['interacts_with', 'occurs_in', 'isa', 'location_of']
['interacts_with', 'diagnoses', 'location_of', 'occurs_in']
['interacts_with', 'compared_with', 'produces', 'complicates']
['interacts_with', 'prevents', 'inhibits', 'diagnoses']
['interacts_with', 'affects', 'inhibits', 'coexists_with']
['interacts_with', 'stimulates', 'prevents', 'interacts_with']
['interacts_with', 'produces', 'causes', 'prevents']
['interacts_with', 'affects', 'diagnoses', 'interacts_with']
['interacts_with', 'produces', 'causes', 'produces']
['interacts_with']
['interacts_with', 'occurs_in', 'prevents', 'inhibits']
['interacts_with', 'associated_with']
['interacts_with', 'treats', 'treats', 'compared_with']
['interacts_with', 'coexists_with', 'diagnoses', 'prevents']
['interacts_with', 'causes', 'diagnoses', 'diagnoses']
['interacts_with', 'treats', 'same_as', 'augments']
['interacts_with', 'occurs_in', 'coexists_with', 'disrupts']
['interacts_with', 'treats', 'diagnoses', 'treats']
['interacts_with', 'isa', 'prevents', 'same_as']
['interacts_with', 'part_of', 'diagnoses', 'produces']
['interacts_with', 'treats', 'causes', 'prevents']
['interacts_with', 'associated_with', 'causes', 'isa']
['interacts_with', 'isa', 'interacts_with', 'coexists_with']
['interacts_with', 'part_of', 'augments', 'complicates']
['interacts_with', 'diagnoses', 'complicates', 'inhibits']
['interacts_with', 'interacts_with', 'prevents', 'part_of']
['interacts_with', 'location_of', 'prevents', 'interacts_with']
['interacts_with', 'interacts_with', 'stimulates', 'compared_with']
['interacts_with', 'disrupts', 'affects', 'diagnoses']
['interacts_with', 'prevents']
['interacts_with', 'prevents', 'location_of', 'location_of']
['interacts_with', 'prevents', 'causes', 'affects']
['interacts_with', 'inhibits', 'location_of', 'disrupts']
['interacts_with', 'occurs_in', 'isa', 'compared_with']
['interacts_with', 'inhibits', 'complicates', 'complicates']
['interacts_with', 'location_of', 'complicates', 'stimulates']
['interacts_with', 'augments', 'prevents', 'isa']
['interacts_with', 'location_of', 'produces', 'part_of']
['interacts_with', 'associated_with', 'diagnoses', 'complicates']
['interacts_with', 'treats', 'disrupts', 'stimulates']
['interacts_with', 'diagnoses', 'part_of', 'interacts_with']
['interacts_with', 'produces', 'stimulates', 'part_of']
['interacts_with', 'location_of', 'inhibits', 'prevents']
['interacts_with', 'complicates', 'prevents', 'augments']
['coexists_with', 'interacts_with', 'produces', 'inhibits']
['coexists_with', 'coexists_with']
['coexists_with', 'produces', 'location_of', 'location_of']
['coexists_with', 'associated_with', 'disrupts', 'treats']
['coexists_with', 'location_of', 'isa', 'inhibits']
['coexists_with', 'associated_with', 'interacts_with', 'compared_with']
['coexists_with', 'prevents', 'diagnoses', 'treats']
['coexists_with', 'produces', 'disrupts']
['coexists_with', 'part_of', 'part_of', 'inhibits']
['coexists_with', 'produces', 'coexists_with', 'treats']
['coexists_with', 'diagnoses', 'produces', 'inhibits']
['coexists_with', 'location_of', 'prevents', 'inhibits']
['coexists_with', 'prevents']
['coexists_with', 'coexists_with', 'prevents', 'affects']
['coexists_with', 'causes', 'complicates', 'disrupts']
['coexists_with', 'associated_with', 'part_of', 'augments']
['coexists_with', 'occurs_in', 'stimulates', 'augments']
['coexists_with', 'same_as', 'inhibits', 'isa']
['coexists_with', 'part_of', 'affects', 'produces']
['coexists_with', 'compared_with', 'location_of', 'same_as']
['coexists_with', 'produces', 'prevents', 'complicates']
['coexists_with', 'part_of', 'stimulates', 'occurs_in']
['coexists_with', 'stimulates', 'occurs_in', 'compared_with']
['coexists_with', 'isa', 'complicates', 'location_of']
['coexists_with', 'same_as', 'complicates', 'interacts_with']
['coexists_with', 'compared_with', 'affects', 'complicates']
['coexists_with', 'complicates', 'compared_with', 'associated_with']
['coexists_with', 'associated_with', 'associated_with', 'augments']
['coexists_with', 'produces', 'inhibits', 'location_of']
['coexists_with', 'diagnoses', 'produces', 'coexists_with']
['coexists_with', 'causes', 'compared_with', 'complicates']
['coexists_with', 'location_of', 'augments', 'causes']
['coexists_with', 'coexists_with', 'causes', 'treats']
['coexists_with', 'location_of', 'treats', 'associated_with']
['coexists_with', 'interacts_with', 'occurs_in', 'coexists_with']
['coexists_with', 'coexists_with', 'produces', 'compared_with']
['coexists_with', 'associated_with', 'interacts_with', 'stimulates']
['coexists_with']
['coexists_with', 'produces', 'associated_with', 'disrupts']
['coexists_with', 'coexists_with', 'isa', 'disrupts']
['coexists_with', 'inhibits', 'diagnoses', 'compared_with']
['coexists_with', 'same_as', 'prevents', 'disrupts']
['coexists_with', 'affects', 'prevents', 'coexists_with']
['coexists_with', 'stimulates', 'disrupts', 'diagnoses']
['coexists_with', 'disrupts', 'isa', 'interacts_with']
['coexists_with', 'interacts_with', 'part_of', 'location_of']
['coexists_with', 'interacts_with', 'interacts_with', 'same_as']
['coexists_with', 'disrupts', 'augments', 'isa']
['coexists_with', 'same_as', 'disrupts']
['coexists_with', 'prevents', 'treats', 'stimulates']
['coexists_with', 'interacts_with', 'coexists_with', 'affects']
['coexists_with', 'stimulates', 'stimulates', 'prevents']
['coexists_with', 'augments', 'diagnoses', 'prevents']
['coexists_with', 'affects', 'isa', 'associated_with']
['coexists_with', 'occurs_in', 'interacts_with', 'disrupts']
['coexists_with', 'occurs_in', 'augments', 'isa']
['coexists_with', 'occurs_in', 'inhibits', 'stimulates']
['coexists_with', 'interacts_with', 'part_of', 'prevents']
['coexists_with', 'prevents', 'part_of', 'occurs_in']
['coexists_with', 'coexists_with', 'stimulates', 'disrupts']
['coexists_with', 'part_of', 'prevents', 'complicates']
['coexists_with', 'causes', 'augments', 'associated_with']
['coexists_with', 'diagnoses', 'produces', 'causes']
['coexists_with', 'compared_with', 'location_of', 'part_of']
['coexists_with', 'stimulates', 'isa', 'occurs_in']
['coexists_with', 'diagnoses', 'stimulates', 'part_of']
['coexists_with', 'causes', 'prevents', 'compared_with']
['coexists_with', 'prevents', 'coexists_with', 'diagnoses']
['coexists_with', 'associated_with', 'prevents', 'associated_with']
['coexists_with', 'complicates', 'occurs_in', 'diagnoses']
['coexists_with', 'complicates', 'interacts_with', 'associated_with']
['coexists_with', 'affects']
['coexists_with', 'prevents', 'stimulates', 'complicates']
['coexists_with', 'produces', 'associated_with']
['coexists_with', 'interacts_with', 'augments', 'treats']
['coexists_with', 'same_as', 'prevents', 'interacts_with']
['coexists_with', 'isa', 'location_of', 'inhibits']
['coexists_with', 'causes', 'disrupts', 'occurs_in']
['coexists_with', 'part_of', 'part_of', 'prevents']
['coexists_with', 'prevents', 'stimulates', 'inhibits']
['coexists_with', 'augments', 'causes', 'diagnoses']
['coexists_with', 'compared_with', 'isa', 'interacts_with']
['coexists_with', 'causes', 'treats', 'part_of']
['coexists_with', 'complicates', 'affects', 'disrupts']
['coexists_with', 'same_as', 'interacts_with', 'causes']
['coexists_with', 'treats', 'causes', 'disrupts']
['coexists_with', 'complicates', 'produces', 'location_of']
['coexists_with', 'inhibits', 'coexists_with']
['coexists_with', 'produces', 'coexists_with', 'interacts_with']
['coexists_with', 'causes', 'compared_with', 'prevents']
['coexists_with', 'diagnoses', 'produces', 'same_as']
['coexists_with', 'part_of', 'same_as', 'produces']
['coexists_with', 'interacts_with', 'location_of', 'stimulates']
['coexists_with', 'inhibits', 'same_as', 'prevents']
['coexists_with', 'causes', 'stimulates', 'compared_with']
['coexists_with', 'stimulates', 'part_of', 'causes']
['isa', 'stimulates', 'treats', 'isa']
['isa', 'associated_with', 'occurs_in', 'complicates']
['isa', 'stimulates', 'produces', 'part_of']
['isa', 'prevents', 'causes', 'complicates']
['isa', 'prevents', 'affects', 'prevents']
['isa', 'disrupts', 'treats', 'affects']
['isa', 'interacts_with', 'causes']
['isa', 'disrupts', 'prevents', 'produces']
['isa', 'isa', 'isa', 'occurs_in']
['isa', 'isa']
['isa', 'diagnoses', 'inhibits', 'complicates']
['isa', 'stimulates', 'inhibits', 'coexists_with']
['isa', 'occurs_in', 'part_of', 'produces']
['isa', 'inhibits', 'causes', 'part_of']
['isa', 'complicates', 'compared_with', 'treats']
['isa', 'interacts_with', 'treats', 'same_as']
['isa', 'causes', 'location_of', 'treats']
['isa', 'disrupts', 'associated_with', 'coexists_with']
['isa', 'same_as', 'occurs_in', 'associated_with']
['isa', 'occurs_in', 'prevents', 'same_as']
['isa', 'causes', 'affects', 'disrupts']
['isa', 'interacts_with', 'affects', 'location_of']
['isa', 'isa', 'isa', 'treats']
['isa', 'disrupts', 'complicates', 'location_of']
['isa', 'affects', 'part_of', 'coexists_with']
['isa', 'produces', 'complicates', 'inhibits']
['isa', 'occurs_in', 'diagnoses', 'produces']
['isa', 'produces', 'causes', 'part_of']
['isa', 'disrupts', 'produces', 'affects']
['isa', 'coexists_with', 'associated_with', 'associated_with']
['isa', 'part_of', 'part_of', 'coexists_with']
['isa', 'inhibits', 'associated_with']
['isa', 'same_as', 'augments', 'stimulates']
['isa', 'inhibits', 'same_as', 'associated_with']
['isa', 'prevents', 'location_of', 'coexists_with']
['isa', 'inhibits', 'complicates', 'causes']
['isa', 'associated_with', 'causes', 'affects']
['isa', 'augments']
['isa', 'stimulates', 'part_of', 'causes']
['isa', 'augments', 'produces', 'occurs_in']
['isa', 'occurs_in', 'occurs_in', 'affects']
['isa', 'causes', 'compared_with', 'affects']
['isa', 'affects', 'stimulates', 'associated_with']
['isa', 'causes', 'diagnoses', 'interacts_with']
['isa', 'inhibits', 'causes', 'inhibits']
['isa', 'isa', 'affects', 'inhibits']
['isa', 'part_of', 'causes', 'location_of']
['isa', 'produces', 'interacts_with', 'compared_with']
['isa', 'compared_with', 'affects', 'inhibits']
['isa', 'stimulates', 'stimulates', 'associated_with']
['isa', 'augments', 'treats', 'coexists_with']
['isa', 'treats', 'location_of', 'location_of']
